"Event_Label","Resource_Title","Number of Downloads"
"/ALNAP-ProVention_lessons_on_slow-onset_disasters.pdf","ALNAP ProVention_lessons_on_slow onset_disasters.pdf",1
"/publications/pdfs/ALNAPLessonsUrbanDisasters","ALNAPLessonsUrbanDisasters",1
"/publicatins/pdfs/ALNAPLessonsUrbanDisasters.pdf","ALNAPLessonsUrbanDisasters.pdf",1
"/pool/files/alnap-provetnion-lessons-urban.pdf","alnap provetnion lessons urban.pdf",1
"/pool/files/meeting_record_dec05.pdf&title=ALNAP+Biannual+Meeting&moduleId=matchingsites.jsp.M&clickedItemPageRanking=-115&clickedItemPage=13&clickedItemDescription=WebResults&obQuery=","meeting_record_dec05.pdf&title=ALNAP+Biannual+Meeting&moduleId=matchingsites.jsp.M&clickedItemPageRanking= 115&clickedItemPage=13&clickedItemDescription=WebResults&obQuery=",1
"/pdfs/ALNAPLessonsUrbanDisasters.pdf","ALNAPLessonsUrbanDisasters.pdf",1
"/publications/pdfs/ALNAP-ProVention_flood_lessons.pdf_","ALNAP ProVention_flood_lessons.pdf_",1
"/publications/pdfs/ALNAP-ProVention_lessons_on_slowonset_","ALNAP ProVention_lessons_on_slowonset_",1
"/pool/files/ALNAPprovention.pdf","ALNAPprovention.pdf",1
"/pool/files/ALNAPLessonsEarthquakes.pdf/","ALNAPLessonsEarthquakes.pdf",1
"/pool/files/alnaplessonsearthquakes.pdf","alnaplessonsearthquakes.pdf",1
"/publications/pdfs/ALNAP-ProVention_le..._slow-onset_disasters.pdf","ALNAP ProVention_le..._slow onset_disasters.pdf",1
"/meetings/pdfs/alnap_elmundo+es_spain040608.pdf","alnap_elmundo+es_spain040608.pdf",1
"/publications/pdfs/ALNAP-","ALNAP ",1
"/meetings/pdfs/alnap_efe_spain040608.pdf","alnap_efe_spain040608.pdf",1
"/pool/files/ALNAP-ProVention_SAsia_Quake_Lessonsb.pdf/","ALNAP ProVention_SAsia_Quake_Lessonsb.pdf",1
